npn,resolucion_predio_id,codigo
761470102000012970027000000000,23864,Lote urbanizado no construido
761470102000012970028000000000,23864,Lote urbanizado no construido
761470102000012970029000000000,23864,Lote urbanizado no construido
761470102000012970030000000000,23864,Lote urbanizado no construido
761470102000012970031000000000,23864,Lote urbanizado no construido
761470102000012970032000000000,23864,Lote urbanizado no construido
761470102000012970033000000000,23864,Lote urbanizado no construido
761470102000012970034000000000,23864,Lote urbanizado no construido
761470102000012970035000000000,23864,Lote urbanizado no construido
761470102000012970036000000000,23864,Lote urbanizado no construido
761470102000012970037000000000,23864,Lote urbanizado no construido
761470102000012970038000000000,23864,Lote urbanizado no construido
761470102000012970039000000000,23864,Lote urbanizado no construido
761470102000012970040000000000,23864,Lote urbanizado no construido
761470102000012970041000000000,23864,Lote urbanizado no construido
761470102000012970042000000000,23864,Lote urbanizado no construido
761470102000012970043000000000,23864,Lote urbanizado no construido
761470102000012970044000000000,23864,Lote urbanizado no construido
761470102000012970045000000000,23864,Lote urbanizado no construido
761470102000012970046000000000,23864,Lote urbanizado no construido
761470102000012970047000000000,23864,Lote urbanizado no construido
761470102000012980001000000000,23864,Lote urbanizado no construido
761470102000012980002000000000,23864,Lote urbanizado no construido
761470102000012980003000000000,23864,Lote urbanizado no construido
761470102000012980004000000000,23864,Lote urbanizado no construido
761470102000012980005000000000,23864,Lote urbanizado no construido
761470102000012980006000000000,23864,Lote urbanizado no construido
761470102000012980007000000000,23864,Lote urbanizado no construido
761470102000012980008000000000,23864,Lote urbanizado no construido
761470102000012980009000000000,23864,Lote urbanizado no construido
761470102000012980010000000000,23864,Lote urbanizado no construido
761470102000012980011000000000,23864,Lote urbanizado no construido
761470102000012980012000000000,23864,Lote urbanizado no construido
761470102000012980013000000000,23864,Lote urbanizado no construido
761470102000012980014000000000,23864,Lote urbanizado no construido
761470102000012980015000000000,23864,Lote urbanizado no construido
761470102000012980016000000000,23864,Lote urbanizado no construido
761470102000012980017000000000,23864,Lote urbanizado no construido
761470102000012980018000000000,23864,Lote urbanizado no construido
761470102000012980019000000000,23864,Lote urbanizado no construido
761470102000012980020000000000,23864,Lote urbanizado no construido
761470102000012980021000000000,23864,Lote urbanizado no construido
761470102000012980022000000000,23864,Lote urbanizado no construido
761470102000012980023000000000,23864,Lote urbanizado no construido
761470102000012980024000000000,23864,Lote urbanizado no construido
761470102000012980025000000000,23864,Lote urbanizado no construido
761470102000012980026000000000,23864,Lote urbanizado no construido
761470102000012990001000000000,23864,Habitacional
761470102000012990002000000000,23864,Habitacional
761470102000012990003000000000,23864,Habitacional
761470102000012990004000000000,23864,Habitacional
761470102000012990005000000000,23864,Habitacional
761470102000012990006000000000,23864,Habitacional
761470102000012990007000000000,23864,Habitacional
761470102000012990008000000000,23864,Habitacional
761470102000012990009000000000,23864,Habitacional
761470102000012990010000000000,23864,Habitacional
761470102000012990011000000000,23864,Habitacional
761470102000012990012000000000,23864,Habitacional
761470102000012990013000000000,23864,Habitacional
761470102000012990014000000000,23864,Habitacional
761470102000012990015000000000,23864,Lote urbanizado no construido
761470102000012990016000000000,23864,Lote urbanizado no construido
761470102000012990017000000000,23864,Lote urbanizado no construido
761470102000012990018000000000,23864,Lote urbanizado no construido
761470102000012990019000000000,23864,Lote urbanizado no construido
761470102000012990020000000000,23864,Lote urbanizado no construido
761470102000012990021000000000,23864,Lote urbanizado no construido
761470102000012990022000000000,23864,Lote urbanizado no construido
761470102000012990023000000000,23864,Lote urbanizado no construido
761470102000012990024000000000,23864,Lote urbanizado no construido
761470102000012990025000000000,23864,Lote urbanizado no construido
761470102000012990026000000000,23864,Lote urbanizado no construido
761470102000012990027000000000,23864,Lote urbanizado no construido
761470102000012990028000000000,23864,Lote urbanizado no construido
761470102000012990029000000000,23864,Lote urbanizado no construido
761470102000012990030000000000,23864,Lote urbanizado no construido
761470102000012990031000000000,23864,Lote urbanizado no construido
761470102000012990032000000000,23864,Lote urbanizado no construido
761470102000012990033000000000,23864,Lote urbanizado no construido
761470102000012990034000000000,23864,Lote urbanizado no construido
761470102000012990035000000000,23864,Lote urbanizado no construido
761470102000013000001000000000,23864,Lote urbanizado no construido
761470102000013000002000000000,23864,Lote urbanizado no construido
761470102000013000003000000000,23864,Lote urbanizado no construido
761470102000013000004000000000,23864,Lote urbanizado no construido
761470102000013000005000000000,23864,Lote urbanizado no construido
761470102000013000006000000000,23864,Lote urbanizado no construido
761470102000013000007000000000,23864,Lote urbanizado no construido
761470102000013000008000000000,23864,Lote urbanizado no construido
761470102000013000009000000000,23864,Lote urbanizado no construido
761470102000013000010000000000,23864,Lote urbanizado no construido
761470102000013000011000000000,23864,Lote urbanizado no construido
761470102000013000012000000000,23864,Lote urbanizado no construido
761470102000013010001000000000,23864,Lote urbanizado no construido
761470102000013010002000000000,23864,Lote urbanizado no construido
761470102000013010003000000000,23864,Lote urbanizado no construido
761470102000013010004000000000,23864,Lote urbanizado no construido
761470102000013010006000000000,23864,Habitacional
761470102000013010008000000000,23864,Habitacional
761470102000013010010000000000,23864,Habitacional
